Date;ner_gt;omas_mn;emision
1/02/2009;7.95;16244.6;17952.4
1/03/2009;8.08;16776.6;18084.7
1/04/2009;8.09;16229.4;18357.9
1/05/2009;8.1;16334.4;18436.7
1/06/2009;8.13;16132.2;17891
1/07/2009;8.18;17257.5;18454
1/08/2009;8.26;16014.4;18052.1
1/09/2009;8.32;13993.8;18342.8
1/10/2009;8.35;14147.4;18614
1/11/2009;8.3;14733.2;18681.8
1/12/2009;8.33;14830.7;21232.6
1/01/2010;8.37;17084.5;20081
1/02/2010;8.15;17415.6;19833.73286
1/03/2010;8.02;17624.9;20700.9
1/04/2010;8.01;18538.3;19793.5
1/05/2010;8;19146.6;19515.2
1/06/2010;8.01;16384.1;20024.2
1/07/2010;8.01;16588.7;20111.8
1/08/2010;8.02;16259.1;19690.7
1/09/2010;8.08;16505.4;19730.7
1/10/2010;8.06;15953.1;20338.4
1/11/2010;8;16829.5;21201.9
1/12/2010;7.98;16834;23390.3
1/01/2011;7.96;16951.2;22652.9
1/02/2011;7.82;17783.1;22198.8
1/03/2011;7.71;18903.9;22499.4
1/04/2011;7.63;17748.1;22840.9
1/05/2011;7.65;18657.9;21798.7
1/06/2011;7.79;17628.3;22601.2
1/07/2011;7.76;18789.5;22467.8
1/08/2011;7.83;17428.3;21933.4
1/09/2011;7.85;18379.7;21776
1/10/2011;7.85;17678;21766.4
1/11/2011;7.81;15611.5;22603.5
1/12/2011;7.8;18053.6;24532.5
1/01/2012;7.81;20192.2;23189.2
1/02/2012;7.78;18624.1;23240.8
1/03/2012;7.73;18375.8;23365.7
1/04/2012;7.74;17337.1;23173
1/05/2012;7.78;18093;22845.7
1/06/2012;7.85;17868.1;23045
1/07/2012;7.82;18061.6;22945.6
1/08/2012;7.88;20953.2;22397.9
1/09/2012;7.98;21705.8;22583.6
1/10/2012;7.88;20450.2;23212.1
1/11/2012;7.87;21287.7;23185.9
1/12/2012;7.89;20117.4;26552.1
1/01/2013;7.89;22149.4;24517.3
1/02/2013;7.83;21063.7;24007.3
1/03/2013;7.81;18711.2;25150.8
1/04/2013;7.8;19992.7;24412.5
1/05/2013;7.79;21071.5;23811.7
1/06/2013;7.82;21896.2;24105.3
1/07/2013;7.82;22428.2;24157.5
1/08/2013;7.89;22927.9;23595.3
1/09/2013;7.94;23446.6;23561.5
1/10/2013;7.96;21661;24170.9
1/11/2013;7.9;22437.2;23892.3
1/12/2013;7.86;23880.1;27130.3
1/01/2014;7.85;29394.3;24811.8
1/02/2014;7.76;27080.9;24637.4
1/03/2014;7.73;24816.2;24854.6
1/04/2014;7.75;23275.7;25281.5
1/05/2014;7.73;22050.7;24879.7
1/06/2014;7.8;24742.4;25078.8
1/07/2014;7.77;25879.3;25973.2
1/08/2014;7.81;25810.7;25380.6
1/09/2014;7.72;25665;25143.3
1/10/2014;7.65;27819.9;25838
1/11/2014;7.62;26247.8;25902.5
1/12/2014;7.62;23442.1;29164.4
1/01/2015;7.64;25074.1;27231.5
1/02/2015;7.65;27596.1;27115.3
1/03/2015;7.63;22499.7;29055.9
1/04/2015;7.69;23147.5;28168.4
1/05/2015;7.69;24839.8;30081
1/06/2015;7.65;22459.8;29768.5
1/07/2015;7.65;26476.1;29737.9
1/08/2015;7.646643871;24410.1;29162
1/09/2015;7.693564;24446.4;28794.7
1/10/2015;7.683855806;25055.1;29277.5
1/11/2015;7.647624333;22775.2;29564.8
1/12/2015;7.613479355;23425.2;33308.09506
1/01/2016;7.648605484;24285.8;30855.45137
1/02/2016;7.662025517;24959.3;30516.90036
1/03/2016;7.71716;25473.9;31270.00002
1/04/2016;7.730261;23538.5;31040.34027
1/05/2016;7.655817097;22943.3;30770.39558
1/06/2016;7.642882333;24728.7;31273.96573
1/07/2016;7.604172903;27670.2;32147.11151
1/08/2016;7.534532903;25697;31014.61057
1/09/2016;7.525949;27861.8;31308.0176
1/10/2016;7.498369032;29063.4;32866.87653
1/11/2016;7.504329333;26426.4;32078.5
1/12/2016;7.504338387;23827.5;35473.76789
1/01/2017;7.522136129;27218.4;33847.17664
1/02/2017;7.411076071;24381.9;34353.85609
1/03/2017;7.35949871;26726;35163.18551
1/04/2017;7.337470667;26865;35565.79993
1/05/2017;7.339385313;25581.5;35120.23337
1/06/2017;7.343816333;27331.9;35446.00189
1/07/2017;7.306322258;30049.2;36174.35296
1/08/2017;7.275192581;32576.3;35508.2621
1/09/2017;7.301883;32963;35660.96525
1/10/2017;7.34362;34648.3;36379.24095
1/11/2017;7.332673667;35797.5;36252.92684
1/12/2017;7.34079;31592.9;39823.92151
1/01/2018;7.343481613;35298.6;37685.34025
1/02/2018;7.359597143;35245.5;37806.94595
1/03/2018;7.392914516;35115.3;38902.60647
1/04/2018;7.402599667;37487.8;37875.8
1/05/2018;7.440304516;36742;38122.4
1/06/2018;7.485269667;37137.4;38470.8
1/07/2018;7.484703226;40699;38793
1/08/2018;7.500703226;38226.7;38357.6
1/09/2018;7.654351333;35823.2;38434.9
1/10/2018;7.724274516;35424.7;40097
1/11/2018;7.700699;38845.4;40077.1
1/12/2018;7.730000645;33879.3;44202.35686
1/01/2019;7.729149677;39567.5;41996.8
1/02/2019;7.737828214;37524.9;41880.2
1/03/2019;7.690478387;39432.2;42178.3
1/04/2019;7.644305667;38708.9;43144.9
1/05/2019;7.667630323;38519;42731.9
1/06/2019;7.704992333;41149.3;43264.1
1/07/2019;7.675909355;40540;44489.7
1/08/2019;7.67082129;44258.3;43731.3
1/09/2019;7.705932333;44098;44107.2
1/10/2019;7.762956452;44148.8;46179.2
1/11/2019;7.704358667;46290.9;46371.5
1/12/2019;7.688606129;43245.5;50987.7
1/01/2020;7.695609032;49646.3;48844.6
1/02/2020;7.648576897;52086.9;48241.9
1/03/2020;7.68644871;45096.4;50190.3
1/04/2020;7.707339667;43962;52021.7
1/05/2020;7.698647097;51178.7;53735.3
1/06/2020;7.697426333;47449.6;54739.6
1/07/2020;7.695966129;49252.5;55844.9
1/08/2020;7.705185806;53695.9;55442.2
1/09/2020;7.757204333;53593;57433.9
1/10/2020;7.781356774;62091.8;57603.2
1/11/2020;7.788877333;58753.2;58068.8
1/12/2020;7.80121871;51270.1;64201.1
1/01/2021;7.79006871;64282.3;61390.1
1/02/2021;7.745361786;63761.3;61037
1/03/2021;7.720328387;55757.2;62819.4
1/04/2021;7.716579333;61133.7;61517.3
1/05/2021;7.714919032;56802.8;61819
1/06/2021;7.738516;49696.1;62776.9
1/07/2021;7.745088387;57310.5;63985.1
1/08/2021;7.738385161;54145.4;63356.6
1/09/2021;7.731863667;56234.6;64448.6
1/10/2021;7.731476129;59253.2;65064.6
1/11/2021;7.731369333;52929.4;65610.7
1/12/2021;7.725414194;43531.7;71955.1
1/01/2022;7.702852903;59176.5;69730
1/02/2022;7.698491429;58564.8;69952.2
1/03/2022;7.694115484;55687;71178.9
1/04/2022;7.662973;59891.2;71829.2
