date,core_cpiUS,energy,food,ext_gdp,imp_us
1/1/2017,2.250209222,65.52319474,15.40006655,-1.029373573,3.820033956
2/1/2017,2.235346829,61.25552944,14.30521023,-1.359187047,4.692832765
3/1/2017,2.045845482,32.99416379,6.543263488,-0.599043125,4.078164826
4/1/2017,1.896565011,29.43591517,2.733709088,-0.47189991,3.628691983
5/1/2017,1.737093191,13.35784313,3.723521473,-0.889897307,2.335279399
6/1/2017,1.699119334,1.718704192,0.906696687,-1.117037757,1.408450704
7/1/2017,1.676962744,9.847225936,2.869670594,-1.018302069,1.158940397
8/1/2017,1.655241262,13.99426903,-0.042789893,-0.59316436,1.991701245
9/1/2017,1.595389846,20.01694463,-0.843036207,-0.270135701,2.736318408
10/1/2017,1.759639081,13.93015235,1.002283865,-0.111108952,2.392739274
11/1/2017,1.737607273,31.07032541,1.081886139,-0.151411959,3.468208092
12/1/2017,1.770166453,17.76483433,-0.043999195,0.047040747,3.207236842
1/1/2018,1.83856556,21.66714975,-0.674866914,-0.448675693,3.43417825
2/1/2018,1.820731639,17.64588033,-1.055330094,-0.635171125,3.341483293
3/1/2018,2.065799541,27.20983862,3.354836041,-0.585311293,3.265306122
4/1/2018,2.139897384,27.90707649,3.807395807,-0.627153109,3.501628664
5/1/2018,2.275384799,42.32089175,2.988136191,-0.377060332,4.482477588
6/1/2018,2.265378596,51.4442791,-0.418405612,-0.293729244,4.738562092
7/1/2018,2.326725797,47.51428003,-5.178421187,0.077520721,4.828150573
8/1/2018,2.175144039,38.57930912,-4.623301012,0.143691407,3.824247356
9/1/2018,2.251870955,37.9159871,-2.20382559,-0.166906901,3.066989508
10/1/2018,2.157964075,32.85359895,-1.21077282,-0.046829581,3.384367446
11/1/2018,2.221688152,5.491557734,-6.291268394,-0.523815331,0.718276137
12/1/2018,2.197810839,-7.981220581,-3.511673392,-0.309710517,-0.876494024
1/1/2019,2.141356166,-14.62222713,-5.056913468,-0.729031145,-1.501976285
2/1/2019,2.080463908,-8.223140746,-6.724822256,-1.704928073,-0.70977918
3/1/2019,2.051318091,-6.565597603,-8.271154517,-1.56552435,0.079051383
4/1/2019,2.086881291,-5.87567118,-4.825472447,-1.331049015,-0.236034618
5/1/2019,2.01049189,-14.77532137,-9.475819401,-0.78561615,-0.936037441
6/1/2019,2.134791745,-24.64293987,-3.71566144,-0.550739097,-2.028081123
7/1/2019,2.18849865,-23.22425307,-1.044275302,0.312497295,-1.951600312
8/1/2019,2.366797402,-27.90469481,0.923452098,0.421462367,-2.115987461
9/1/2019,2.353145974,-28.91944834,-2.609460618,0.660995899,-2.114330462
10/1/2019,2.325123457,-30.65262719,-4.022229592,0.267169293,-2.961808262
11/1/2019,2.314852287,-13.54806414,4.613644139,-0.201408397,-1.18858954
12/1/2019,2.234413351,-0.73514473,5.399900489,-0.252201771,0.482315113
1/1/2020,2.258438438,-4.416864525,4.913099541,-1.510859723,0.481540931
